ID,Gender,Native,KoreanVisit,KoreanDrama,KoreanLanguage,SojuQuestion,KoreanRestaurant,KoreanFriends,Qualitative,Condition,StimGender,Resp,RespType,Question
R_11gr27M4E15u5Gl,male,English,Never,Never,None,No,Yes,No,The sound was sharper,KhyaKheu,Male,Second,Kheu,hard
R_11gr27M4E15u5Gl,male,English,Never,Never,None,No,Yes,No,The sound was sharper,KhyaKheu,Female,Second,Kheu,hard
R_1HkOpd9yyz22hbB,male,English,Never,Never,None,Yes,Yes,Yes,"I just went with how much ""oommph"" was behind each",KheuKhya,Male,Second,Khya,hard
R_1HkOpd9yyz22hbB,male,English,Never,Never,None,Yes,Yes,Yes,"I just went with how much ""oommph"" was behind each",KhyaKheu,Female,Second,Kheu,hard
R_1IY1hETlOu3Cpuh,male,English,Never,Never,None,No,No,No,No.,KhyaKheu,Female,First,Khya,hard
R_1IY1hETlOu3Cpuh,male,English,Never,Never,None,No,No,No,No.,KhyaKheu,Male,Second,Kheu,hard
R_1ln3d6P22KEsjcP,female,English,Never,Never,None,No,No,No,It sounded like it took more effort to make the sound harder.,KheuKhya,Male,First,Kheu,hard
R_1ln3d6P22KEsjcP,female,English,Never,Never,None,No,No,No,It sounded like it took more effort to make the sound harder.,KheuKhya,Female,First,Kheu,hard
R_1oB8BzjLjChYHfA,female,"English, Spanish",Never,Never,None,No,No,No,If it made a sound more like a K that was a hard sound.,KhyaKheu,Male,Second,Kheu,hard
R_1oB8BzjLjChYHfA,female,"English, Spanish",Never,Never,None,No,No,No,If it made a sound more like a K that was a hard sound.,KheuKhya,Female,First,Kheu,hard
R_22E77gD0MCrjELq,female,English,Short visit(s),Rarely,Intermediate,Yes,Yes,Yes,The harder sound seemed lower.,KhyaKheu,Female,Second,Kheu,hard
R_22E77gD0MCrjELq,female,English,Short visit(s),Rarely,Intermediate,Yes,Yes,Yes,The harder sound seemed lower.,KhyaKheu,Male,Second,Kheu,hard
R_22VbtMtYN8PPMhG,female,English,Never,Never,None,Maybe,Yes,No,"I felt the ones I chose were ""harsher"" sounds.",KheuKhya,Male,Second,Khya,hard
R_22VbtMtYN8PPMhG,female,English,Never,Never,None,Maybe,Yes,No,"I felt the ones I chose were ""harsher"" sounds.",KhyaKheu,Female,Second,Kheu,hard
R_2bUzyIPkog208Lk,female,English,Never,Never,None,Yes,Yes,Yes,"Knowledge of phonetics helped me choose a sound as ""hard"", I was listening for a hard consonant sound.",KheuKhya,Female,First,Kheu,hard
R_2bUzyIPkog208Lk,female,English,Never,Never,None,Yes,Yes,Yes,"Knowledge of phonetics helped me choose a sound as ""hard"", I was listening for a hard consonant sound.",KhyaKheu,Male,Second,Kheu,hard
R_2c0B6Wq8cCbU8ui,male,english,Never,Rarely,None,No,Maybe,Yes,"i have no idea, i just went with my gut reaction to the sounds",KheuKhya,Female,First,Kheu,hard
R_2c0B6Wq8cCbU8ui,male,english,Never,Rarely,None,No,Maybe,Yes,"i have no idea, i just went with my gut reaction to the sounds",KhyaKheu,Male,First,Khya,hard
R_2cjSZ9D0hckcNTG,male,english,Never,Never,None,No,Yes,No,"The mike ""popping"" opening on the first two.  It was blunt, the second of both pages seemed to have a more gradual transition from beginning to end.  For me, that is what i would call a hard sound.  Like a scary jump cut in movies designed to elicit a response or grab your attention.  Sorry, did not notice anything else.",KhyaKheu,Male,First,Khya,hard
