ID,Gender,Age,Native,KoreanVisit,KoreanDrama,KoreanLanguage,SojuQuestion,KoreanRestaurant,KoreanFriends,Qualitative,Condition,StimGender,Resp,RespType,Question
R_0fyUadF0gEkLsd3,male,34,english,Never,Never,None,No,Yes,Yes,what made me thing of something sweet,KheuKhya,Female,First,Kheu,sweet
R_0fyUadF0gEkLsd3,male,34,english,Never,Never,None,No,Yes,Yes,what made me thing of something sweet,KheuKhya,Male,Second,Khya,sweet
R_12fIB0G0eJOi1Xq,male,37,English,Never,Never,None,Yes,Yes,No,I consider a sweet sound to not be sharp and abrasive.,KheuKhya,Male,Second,Khya,sweet
R_12fIB0G0eJOi1Xq,male,37,English,Never,Never,None,Yes,Yes,No,I consider a sweet sound to not be sharp and abrasive.,KhyaKheu,Female,First,Khya,sweet
R_12PDrZoPefz70qx,male,37,English,Never,Never,None,No,Maybe,No,The one that sounded less harsh.,KheuKhya,Female,First,Kheu,sweet
R_12PDrZoPefz70qx,male,37,English,Never,Never,None,No,Maybe,No,The one that sounded less harsh.,KheuKhya,Male,First,Kheu,sweet
R_12zHgQhvKlmd3mV,male,48,english,Never,Never,None,No,Yes,No,I was trying to determine what it was first and if there were any actual bad intent implied in the sound....when that didn't work i just tried to make my best guess.,KheuKhya,Male,First,Kheu,sweet
R_12zHgQhvKlmd3mV,male,48,english,Never,Never,None,No,Yes,No,I was trying to determine what it was first and if there were any actual bad intent implied in the sound....when that didn't work i just tried to make my best guess.,KhyaKheu,Female,First,Khya,sweet
R_1cTeiWI1qT63ygg,female,29,english,Never,Rarely,None,No,Yes,Maybe,Sweet seems like gentle to me,KheuKhya,Female,Second,Khya,sweet
R_1cTeiWI1qT63ygg,female,29,english,Never,Rarely,None,No,Yes,Maybe,Sweet seems like gentle to me,KheuKhya,Male,Second,Khya,sweet
R_1eDGC1aoBdXWZaW,female,26,English,Never,Rarely,None,No,Maybe,No,"The 2nd one on the 2nd page didn't play. / In general I choose a sweeter sound to be one that isn't as harsh, so it is more of a ""kkKKkk"" rather than a ""KKkkk"" and one that is a bit higher pitch.",KhyaKheu,Male,First,Khya,sweet
R_1eDGC1aoBdXWZaW,female,26,English,Never,Rarely,None,No,Maybe,No,"The 2nd one on the 2nd page didn't play. / In general I choose a sweeter sound to be one that isn't as harsh, so it is more of a ""kkKKkk"" rather than a ""KKkkk"" and one that is a bit higher pitch.",KheuKhya,Female,First,Kheu,sweet
R_1EgsoJAK1pnYuju,,NA,,,,,,,,,KheuKhya,Male,First,Kheu,sweet
R_1EgsoJAK1pnYuju,,NA,,,,,,,,,KheuKhya,Male,First,Kheu,sweet
